Country,Genus,Species,Taxon,Site,Lat,Hab,FemState,Female,Male,Time
Cameroon,Pseudagrion,sublacteum,Pseudagrion_sublacteum,Boat landing site Djerem river,Trp,O,2,2,2,162
Cameroon,Pseudagrion,sublacteum,Pseudagrion_sublacteum,Natchigal river at Bachenga,Trp,O,2,2,4,90
Cameroon,Pseudagrion,sublacteum,Pseudagrion_sublacteum,Afamba river at Obala,Trp,O,2,0,13,90
Sweden,Pyrrhosoma,nymphula,Pyrrhosoma_nymphula,Sovdemolla,Tmp,O,1,16,35,120
Cameroon,Stenocnemis,pachystigma,Stenocnemis_pachystigma,Forest stream CM,Trp,C,,1,8,285
Argentina,Telagrion,longum,Telagrion_longum,Yacare Swamp,Trp,C,2,1,2,70
Argentina,Telagrion,longum,Telagrion_longum,Gallery forest trail,Trp,C,2,4,5,120
Costa Rica,Telebasis,filiola,Telebasis_filiola,Nicaragua Wetland PV,Trp,O,2,12,21,140
Guyana,Telebasis,simulata,Telebasis_simulata,Iwokrama road ponds,Trp,O,2,1,29,145
Argentina,Telebasis,willinki,Telebasis_willinki,Gallery forest trail,Trp,O,2,4,4,45
Argentina,Telebasis,willinki,Telebasis_willinki,Socorro Heron Pond,Trp,O,2,4,4,40
Argentina,Tigriagrion,aurantinigrum,Tigriagrion_aurantinigrum,Garganta trail,Trp,O,0,0,1,126
NewZealand,Xanthocnemis,zealandica,Xanthocnemis_zealandica,Woodend Pond,Tmp,O,1,91,410,840
Costa Rica,Acanthagrion,trilobatum,Acanthagrion_trilobatum,River near Turtle Hostel in Drake,Trp,O,0,0,3,76
Costa Rica,Neoneura,esthera,Neoneura_esthera,Silvestre Refugio Rio Piro,Trp,C,2,0,12,140
Costa Rica,Protoneura,amatoria,Protoneura_amatoria,SSE River La Selva,Trp,O,2,0,6,30
Costa Rica,Telebasis,digiticollis,Telebasis_digiticollis,Natural Lake at Barbilla Lodge,Trp,O,2,0,3,126
