Taxon,Region_1,Region_2,Region_3,Region_4,Biome_1,Biome_2,Biome_3
Helveciagrion_simulacrum,S_Am,,,,T,,
Homeoura_chelifera,S_Am,,,,T,,
Homeoura_lindneri,S_Am,,,,T,W,
Homeoura_nepos,S_Am,,,,T,,
Idioneura_ancilla,S_Am,,,,T,,
Inpabasis_hubelli,S_Am,,,,T,,
Inpabasis_rosea,S_Am,,,,T,,
Ischnura_cruzi,S_Am,,,,T,,
Ischnura_fluviatilis,S_Am,,,,T,,
Ischnura_ultima,S_Am,,,,W,,
Leptagrion_elongatum,S_Am,,,,T,,
Leptagrion_macrurum,S_Am,,,,T,,
Leptagrion_perlongum,S_Am,,,,T,,
Mecistogaster_lucretia,S_Am,,,,T,,
Mesamphiagrion_demarmelsi,S_Am,,,,T,,
Mesamphiagrion_dunklei,S_Am,,,,T,,
Mesoleptobasis_acuminata,S_Am,,,,T,,
Mesoleptobasis_cantralli,S_Am,,,,T,,
Mesoleptobasis_elongata,S_Am,,,,T,,
Metaleptobasis_bicornis,S_Am,,,,T,,
Metaleptobasis_byrsonima,S_Am,,,,T,,
Metaleptobasis_mauffrayi,S_Am,,,,T,,
Metaleptobasis_minteri,S_Am,,,,T,,
Metaleptobasis_quadricornis,S_Am,,,,T,,
Microstigma_anomalum,S_Am,,,,T,,
Microstigma_maculatum,S_Am,,,,T,,
Microstigma_rotundatum,S_Am,,,,T,,
Minagrion_mecistogastrum,S_Am,,,,T,,
Minagrion_waltheri,S_Am,,,,T,,
Neoneura_bilinearis,S_Am,,,,T,,
Neoneura_confundens,S_Am,,,,T,,
Neoneura_denticulata,S_Am,,,,T,,
Neoneura_fulvicollis,S_Am,,,,T,,
Neoneura_joana,S_Am,,,,T,,
Neoneura_kiautai,S_Am,,,,T,,
Neoneura_leonardoi,S_Am,,,,T,,
Neoneura_rubriventris,S_Am,,,,T,,
Neoneura_sylvatica,S_Am,,,,T,,
Oxyagrion_ablutum,S_Am,,,,W,,
Oxyagrion_chapadense,S_Am,,,,T,,
Oxyagrion_hempeli,S_Am,,,,T,W,
Oxyagrion_miniopsis,S_Am,,,,T,,
