Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
3000	-4023.871	-4055.093	31.22216	5.69448e-05	0.0308557	9.24116e-06	0.000178977	0.0969793	2.9045e-05	0.482742	1.51726	0.8489212	0.564063	1.77285	0.000117961	0.0639175	1.91431e-05	0.0026652	0.0026652	0.0026652	0.0897238	0.102735	0.445262	0.0916315	0.0501597	0.220488	0.0149539	0.0769485	0.031346	0.0285647	0.146986	0.0598766	0.687242	1.31276	0.4797694	0.72354	1.38209	0.0217593	0.111967	0.0456113	0.00187012	0.00075746	0.0035104	0.00696836	0.0103462	0.006039
3100	-4023.184	-4056.921	33.737	0.0036491	0.0849344	2.81766e-06	0.00418735	0.0974624	3.23327e-06	0.931315	1.06869	0.1019935	0.933519	1.07122	0.00391823	0.0911984	3.02547e-06	1.885833e-05	1.88583e-05	1.88583e-05	0.226939	0.0665557	0.140488	0.396407	0.15026	0.0193505	0.019948	0.100916	0.0336608	0.0293513	0.148487	0.0495281	0.809262	1.19074	0.2862945	0.824397	1.21301	0.0246497	0.124702	0.0415944	0.00392421	0.00151657	0.00511144	0.0087568	0.00819516	0.00227671
3200	-4023.935	-4053.771	29.83519	0.000216491	0.0377622	1.05034e-06	0.000874706	0.152574	4.24376e-06	0.396795	1.6032	1.035108	0.497495	2.01007	0.000545598	0.0951679	2.64705e-06	0.0005120968	0.000512097	0.000512097	0.0445096	0.2624	0.0194015	0.0802773	0.439262	0.154149	0.0239536	0.109888	0.0378182	0.0362926	0.166493	0.0572992	0.79519	1.20481	0.3080072	0.812412	1.2309	0.0301231	0.138191	0.0475587	0.00172444	0.0053647	0.00392362	0.00184705	0.00759409	0.0118314
3300	-4022.74	-4054.199	31.45876	0.00700168	0.0477635	2.53167e-05	0.00767407	0.0523504	2.77479e-05	0.954184	1.04582	0.06797507	0.955187	1.04692	0.00733787	0.050057	2.65323e-05	3.406008e-05	3.40601e-05	3.40601e-05	0.0304476	0.619143	0.0766862	0.0801773	0.061875	0.131671	0.0328727	0.101417	0.0546546	0.0991368	0.305852	0.164826	0.498036	1.50196	0.8182909	0.575838	1.7366	0.0660048	0.203635	0.10974	0.000260635	0.00131149	0.00675682	0.00847784	0.00936932	0.00112034
3400	-4014.086	-4052.829	38.74389	4.61552e-06	0.0489379	2.87466e-05	6.45451e-06	0.0684365	4.02003e-05	0.833876	1.16612	0.248599	0.845627	1.18256	5.53501e-06	0.0586872	3.44735e-05	0.0001151183	0.000115118	0.000115118	0.140094	0.270164	0.126837	0.150039	0.176349	0.136516	0.0335721	0.0936205	0.0551554	0.0944907	0.2635	0.155238	0.524307	1.47569	0.7671021	0.596067	1.67766	0.0640314	0.17856	0.105197	0.000166227	0.00262523	0.00719621	0.00216388	0.00755919	0.00709544
3500	-4019.047	-4055.937	36.88981	2.14468e-06	0.0303402	0.000643254	2.23292e-06	0.0315884	0.000669718	0.979844	1.02016	0.02988669	0.980044	1.02036	2.1888e-06	0.0309643	0.000656486	0.0001370578	0.000137058	0.000137058	0.184167	0.0389362	0.0538537	0.132887	0.533816	0.05634	0.0386051	0.0882338	0.0536106	0.107485	0.245662	0.149263	0.528511	1.47149	0.7590666	0.599306	1.6686	0.073045	0.166948	0.101437	0.000149581	0.00352677	0.00593067	0.00118416	0.00876575	0.00786687
3600	-4020.609	-4050.231	29.62171	3.56688e-05	0.0636427	0.00606577	3.80174e-05	0.0678332	0.00646516	0.968128	1.03187	0.04727007	0.96862	1.0324	3.68431e-05	0.0657379	0.00626546	0.0002189635	0.000218964	0.000218964	0.0226607	0.320369	0.2469	0.00204872	0.295062	0.112959	0.0327523	0.118851	0.0533127	0.0934619	0.339152	0.152133	0.518996	1.481	0.7773131	0.591976	1.68926	0.0631071	0.229001	0.102723	0.000363154	0.00263028	0.00426409	0.011404	0.00684199	0.00275499
3700	-4011.321	-4049.348	38.02759	1.15484e-06	0.0420492	2.74997e-05	1.46226e-06	0.053243	3.48204e-05	0.882532	1.11747	0.1749664	0.888684	1.12526	1.30855e-06	0.0476461	3.11601e-05	0.0002249708	0.000224971	0.000224971	0.0700787	0.462137	0.200985	0.134403	0.0950432	0.0373532	0.0373036	0.096917	0.0505213	0.0991411	0.257574	0.134269	0.546795	1.45321	0.7245873	0.613407	1.63024	0.0682224	0.177246	0.0923954	0.000511408	0.00265691	0.00513929	0.00983571	0.00803813	0.0026196
3800	-4025.936	-4045.899	19.96369	3.37284e-06	0.0216871	0.00231547	1.37352e-05	0.0883159	0.00942924	0.3943	1.6057	1.040938	0.495542	2.01799	8.554e-06	0.0550015	0.00587236	0.0004289873	0.000428987	0.000428987	0.417441	0.387146	0.0673487	0.0103241	0.11528	0.00246043	0.0352747	0.0908355	0.0471466	0.0955443	0.246035	0.1277	0.539291	1.46071	0.7386492	0.607617	1.64577	0.0654095	0.168435	0.0874233	0.000128885	0.00448543	0.00868262	0.0128695	0.00681667	0.00287776
3900	-4017.748	-4048.696	30.94785	2.42193e-06	0.0758608	0.00010715	3.11997e-06	0.0977251	0.000138033	0.874043	1.12596	0.1877405	0.88106	1.135	2.77095e-06	0.0867929	0.000122592	3.574758e-05	3.57476e-05	3.57476e-05	0.129094	0.363794	0.149162	0.0165463	0.34122	0.000183154	0.0298443	0.121956	0.05217	0.0797029	0.325699	0.139326	0.544867	1.45513	0.7281886	0.611919	1.6342	0.0547736	0.223828	0.0957483	0.00344746	0.00209833	0.00372372	0.00859589	0.0115266	0.00288871
