Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
111	1	-296.4893	-312.1656	15.6763	1	0	0	1	0.003395237	0.003395237	0.001883341	0.008414127	0.001721662	0.002413733	0.004069568	0.004069568	0.275787	0.114471	0.111393	0.498349
112	0	-295.4087	-305.9818	10.57311	0	0	1	1	0.004892823	0.001011907	0.001356003	0.01047551	0.001882619	0.001882619	0.006615953	0.006615953	0.526504	0.00590032	0.128738	0.338858
113	1	-296.7085	-301.8993	5.190756	1	0	0	1	0.004093459	0.004093459	0.001115061	0.01509	0.003294699	0.001817416	0.005398594	0.005398594	0.333409	0.115024	0.0901782	0.461389
114	0	-304.2617	-304.7108	0.4490266	1	0	1	1	0.004821155	0.004821155	0.002137803	0.008618103	0.003205922	0.003205922	0.01004713	0.01004713	0.481364	0.187501	0.106255	0.224881
115	1	-284.7047	-304.0013	19.29655	0	0	0	0	0.003762356	0.000118855	0.001664538	0.01201943	0.003083405	0.001625452	0.0007603604	0.007804591	0.386387	0.165778	0.417816	0.0300193
116	0	-295.62	-306.8211	11.20107	1	0	0	1	0.003846745	0.003846745	0.001609603	0.01089438	0.003096075	0.0002481446	0.006006172	0.006006172	0.0771093	0.199111	0.680059	0.0437208
117	1	-289.0789	-306.0846	17.00571	1	0	0	0	0.003682416	0.003682416	0.001712698	0.009964703	0.003678836	0.002068698	0.0001508156	0.005518711	0.361814	0.327469	0.23018	0.0805366
118	0	-293.797	-306.6974	12.90036	0	0	1	1	0.004033186	2.055486e-05	0.001119983	0.01340917	0.002091124	0.002091124	0.003582897	0.003582897	0.212154	0.192338	0.116111	0.479397
119	1	-300.5331	-300.6318	0.09877172	1	0	1	1	0.003968672	0.003968672	0.001360637	0.01197294	0.003851255	0.003851255	0.007974283	0.007974283	0.712268	0.0492472	0.00803977	0.230445
120	0	-293.6527	-306.162	12.50932	0	0	1	1	0.003739218	0.0004424297	0.001111521	0.01324232	0.003221416	0.003221416	0.002832352	0.002832352	0.490146	0.289521	0.0417033	0.178629
