Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
7700	-300.0124	-306.9347	6.92224	1	0	1	1	0.00361753	0.00361753	0.001146668	0.01034186	0.003411226	0.003411226	0.0048113	0.0048113	0.218816	0.430905	0.233572	0.116707
7800	-293.2322	-305.3394	12.10727	1	0	1	0	0.004431367	0.004431367	0.001348658	0.01305128	0.001962413	0.001962413	0.0003729286	0.003764304	0.498779	0.0396675	0.0779846	0.383569
7900	-302.1825	-307.2424	5.059875	1	0	1	1	0.002902586	0.002902586	0.001732181	0.01026289	0.004385937	0.004385937	0.005627804	0.005627804	0.215069	0.235479	0.309379	0.240073
8000	-299.074	-304.6692	5.595231	1	0	1	1	0.003302358	0.003302358	0.001542455	0.01105101	0.003182985	0.003182985	0.005377596	0.005377596	0.590438	0.0619173	0.175707	0.171938
8100	-297.026	-310.7903	13.76432	1	0	1	0	0.003905758	0.003905758	0.002634452	0.009454708	0.002481464	0.002481464	0.001799869	0.003246388	0.408995	0.125019	0.0457628	0.420223
8200	-288.1067	-308.0437	19.93702	0	0	1	0	0.004340187	0.00124317	0.00132355	0.01018667	0.002680522	0.002680522	0.0003052426	0.00420625	0.27764	0.45678	0.151313	0.114268
8300	-302.8818	-310.967	8.085203	0	0	1	1	0.003565183	0.004666455	0.0005851733	0.01068793	0.001786602	0.001786602	0.007057921	0.007057921	0.196361	0.076237	0.0041139	0.723288
8400	-289.2313	-306.9866	17.75531	0	0	0	1	0.003703662	0.0005995397	0.001023713	0.01220797	0.00234366	0.0009955206	0.005265744	0.005265744	0.330239	0.237241	0.190095	0.242426
8500	-296.3215	-314.3505	18.02899	1	0	1	0	0.004253551	0.004253551	0.001482112	0.008407082	0.001228135	0.001228135	0.001837049	0.002690205	0.344128	0.0892278	0.22853	0.338114
8600	-294.0767	-308.7251	14.64844	1	0	1	0	0.004028094	0.004028094	0.0008174327	0.01039095	0.0038647	0.0038647	0.0002252174	0.003444838	0.442689	0.121371	0.0774127	0.358527
8700	-297.4127	-314.776	17.36326	1	0	0	1	0.002671413	0.002671413	0.001669693	0.01131474	0.001070169	0.001016913	0.002721011	0.002721011	0.37022	0.123072	0.297743	0.208965
8800	-301.7896	-302.0835	0.2939486	1	0	1	1	0.0037273	0.0037273	0.001997703	0.01239341	0.002539226	0.002539226	0.008304272	0.008304272	0.223807	0.00495974	0.437684	0.33355
8900	-296.7511	-308.527	11.77588	0	0	1	1	0.00320444	0.001031564	0.002062295	0.01075895	0.002092773	0.002092773	0.006062574	0.006062574	0.126572	0.130408	0.594608	0.148411
9000	-290.6975	-305.0724	14.3749	0	0	1	0	0.003702741	6.357093e-05	0.001610857	0.01174165	0.002297442	0.002297442	0.0005898169	0.009006701	0.282512	0.0131621	0.0171705	0.687156
9100	-300.0308	-308.0285	7.997713	1	0	1	0	0.003964764	0.003964764	0.002075377	0.01241728	0.0008415476	0.0008415476	0.0001110876	0.009013562	0.0795187	0.0884597	0.301	0.531021
9200	-287.4634	-305.2066	17.74318	0	0	0	0	0.003918433	0.0007874221	0.001480463	0.01057701	0.002700562	0.002916629	0.0007557118	0.009022949	0.37892	0.270126	0.272896	0.0780579
9300	-298.1763	-303.9796	5.803371	1	0	1	0	0.004843179	0.004843179	0.001177349	0.01122995	0.002087305	0.002087305	0.001925172	0.009025621	0.562073	0.18197	0.19303	0.0629277
9400	-300.8632	-312.171	11.30773	1	0	1	0	0.002511885	0.002511885	0.001955836	0.01068409	0.001066666	0.001066666	0.0003893055	0.00900268	0.4667	0.107836	0.0437502	0.381714
9500	-299.3633	-301.4969	2.133618	1	0	1	0	0.004104459	0.004104459	0.001107944	0.01543887	0.001615027	0.001615027	0.00215958	0.008981581	0.60763	0.14676	0.133352	0.112258
9600	-290.5984	-304.3775	13.77906	0	0	1	0	0.003557489	0.0002371111	0.001134255	0.01252589	0.002526745	0.002526745	0.0005494128	0.008988282	0.247577	0.477585	0.0131886	0.26165
9700	-293.26	-303.8899	10.62988	0	0	1	0	0.003496168	0.000129191	0.001925822	0.01386768	0.002702692	0.002702692	0.001065149	0.009008934	0.146836	0.486167	0.139455	0.227542
9800	-295.2451	-303.431	8.185874	0	0	1	0	0.004714568	0.001635696	0.001273657	0.01595415	0.001505277	0.001505277	0.0001940453	0.008995382	0.120614	0.150839	0.354448	0.374099
9900	-302.0675	-304.2095	2.141908	1	0	1	1	0.003938055	0.003938055	0.001797664	0.01011583	0.002057161	0.002057161	0.009482636	0.009482636	0.319985	0.659065	0.0123505	0.00860004
10000	-295.1834	-307.7182	12.53486	1	0	1	0	0.002967107	0.002967107	0.001284169	0.01317233	0.002348148	0.002348148	0.0004721668	0.004323625	0.167892	0.63356	0.197049	0.00149933
10100	-293.4327	-306.2445	12.8118	1	0	1	0	0.003505695	0.003505695	0.00110816	0.01202993	0.003149724	0.003149724	0.0001898634	0.004348803	0.263858	0.2222	0.137822	0.37612
10200	-298.8574	-312.6667	13.80937	1	0	0	1	0.003694313	0.003694313	0.001980907	0.006330667	0.005026599	0.001072541	0.005379322	0.005379322	0.195372	0.166377	0.477818	0.160432
