Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
80	0	-305.3205	-312.8821	7.561603	1	0	1	1	0.001010448	0.001010448	0.0002754327	0.007041366	0.006347416	0.006347416	0.008781229	0.008781229	0.220218	0.282699	0.415364	0.0817188
81	1	-304.5116	-316.1804	11.6688	1	0	1	1	0.001915773	0.001915773	0.0003708407	0.006455082	0.006229468	0.006229468	0.004867232	0.004867232	0.10978	0.118155	0.468027	0.304037
82	0	-299.9819	-313.1669	13.18504	0	0	1	1	0.0008422103	0.0008214016	0.0005703529	0.005395208	0.006004526	0.006004526	0.0110652	0.0110652	0.265876	0.156263	0.573449	0.00441143
83	1	-303.9523	-312.3954	8.443089	1	0	1	1	0.003231225	0.003231225	9.662708e-05	0.005293869	0.006766338	0.006766338	0.007291446	0.007291446	0.228785	0.112524	0.526939	0.131752
84	0	-307.2388	-319.397	12.15828	1	0	1	1	0.001529061	0.001529061	0.0003535322	0.003295041	0.004959263	0.004959263	0.009270377	0.009270377	0.420538	0.1143	0.454842	0.0103208
85	1	-297.1581	-318.3437	21.18555	0	0	1	0	0.004966385	0.0003244065	0.0001677412	0.00675888	0.006880201	0.006880201	0.0002321794	0.004518467	0.166392	0.0876362	0.548248	0.197723
86	0	-306.8027	-317.1208	10.3181	1	0	1	1	0.001211557	0.001211557	0.0004344344	0.003278318	0.008371489	0.008371489	0.007732257	0.007732257	0.00281036	0.103275	0.893397	0.000518011
87	1	-304.1841	-313.1699	8.985721	1	0	1	1	0.002715987	0.002715987	4.297163e-05	0.004121208	0.006222648	0.006222648	0.009098757	0.009098757	0.17061	0.233854	0.496102	0.099434
88	0	-306.6982	-315.8186	9.120433	1	0	1	1	0.003139486	0.003139486	9.218741e-05	0.003940656	0.007397945	0.007397945	0.007512646	0.007512646	0.732071	0.152733	0.0975939	0.0176027
89	1	-305.6296	-318.6743	13.04472	1	0	1	0	0.002392441	0.002392441	0.0004942485	0.005372718	0.005303081	0.005303081	0.000185336	0.01107466	0.218825	0.700409	0.0394092	0.0413575
90	0	-294.1374	-322.0297	27.89231	0	0	1	0	0.002242788	0.0008513077	8.298731e-05	0.005000631	0.006309462	0.006309462	0.0004880469	0.00296593	0.03686	0.293254	0.464424	0.205462
91	1	-295.854	-314.7973	18.94321	0	0	1	0	0.0006444034	0.0003080845	0.0001496844	0.005293558	0.006845096	0.006845096	0.001521241	0.01106118	0.537126	0.0987345	0.346144	0.0179957
92	0	-304.1006	-312.7562	8.655574	1	0	1	1	0.001077059	0.001077059	9.243189e-06	0.003883351	0.007573045	0.007573045	0.009949656	0.009949656	0.0878384	0.178985	0.705409	0.0277669
93	1	-302.3158	-315.3858	13.07001	1	0	1	0	0.001884831	0.001884831	0.0001154926	0.003743624	0.005984315	0.005984315	0.00199676	0.01107519	0.0150486	0.110916	0.792093	0.0819428
94	0	-306.6563	-315.0972	8.440883	1	0	1	1	0.001015443	0.001015443	0.0009959291	0.005636226	0.00766256	0.00766256	0.007371289	0.007371289	0.0602514	0.224461	0.582927	0.132361
95	1	-303.1781	-311.1868	8.008613	1	0	1	1	0.002115487	0.002115487	1.239393e-06	0.005996449	0.006822986	0.006822986	0.008126017	0.008126017	0.33495	0.134652	0.382418	0.147981
96	0	-302.3999	-317.0276	14.62769	0	0	1	1	0.001035944	0.002643537	8.024679e-07	0.006200545	0.008684679	0.008684679	0.004862754	0.004862754	0.116956	0.303103	0.169211	0.41073
97	1	-299.1768	-317.6701	18.49327	0	0	1	1	0.000941998	0.0003990105	0.0003338552	0.004769266	0.008166297	0.008166297	0.005413145	0.005413145	0.452862	0.169984	0.373857	0.00329662
98	0	-300.9662	-311.8401	10.87393	0	0	1	1	0.0005258245	0.001767645	0.000117304	0.005684272	0.006216382	0.006216382	0.01242303	0.01242303	0.192519	0.0865164	0.57503	0.145934
99	1	-297.372	-315.8224	18.45041	0	0	1	1	0.001515669	0.0001334033	0.0004288903	0.005108378	0.006903226	0.006903226	0.005971759	0.005971759	0.238157	0.161558	0.413715	0.18657
