Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
6700	-303.5268	-315.892	12.36521	1	0	1	1	0.001294877	0.001294877	2.209053e-05	0.004712302	0.006991191	0.006991191	0.006204558	0.006204558	0.052182	0.676075	0.210419	0.0613244
6800	-306.2422	-317.1514	10.90917	1	0	1	1	0.002814488	0.002814488	0.0002077239	0.00582538	0.007869005	0.007869005	0.003790864	0.003790864	0.315257	0.190284	0.281865	0.212595
6900	-305.9638	-320.6095	14.64577	1	0	1	1	0.001174658	0.001174658	2.818252e-05	0.005302672	0.006503494	0.006503494	0.004207365	0.004207365	0.154742	0.644342	0.0284066	0.172509
7000	-299.1483	-313.1195	13.97124	0	0	1	1	0.001135099	0.0002876963	0.0001694665	0.003816208	0.006103009	0.006103009	0.01249496	0.01249496	0.273769	0.0952014	0.575907	0.0551225
7100	-296.303	-315.3991	19.09611	0	0	1	1	0.001431953	0.0008316701	9.69173e-05	0.005265482	0.005739773	0.005739773	0.006126817	0.006126817	0.0343977	0.0314105	0.899845	0.0343465
7200	-298.6877	-314.1647	15.47706	0	0	1	1	0.00206214	0.0005104839	0.0002062003	0.005353767	0.007797929	0.007797929	0.006749636	0.006749636	0.389569	0.0329928	0.197777	0.379662
7300	-308.5354	-321.5006	12.96513	1	0	1	1	0.0005644734	0.0005644734	0.0004940328	0.002888044	0.005858474	0.005858474	0.008891606	0.008891606	0.0684157	0.579155	0.283159	0.0692702
7400	-304.829	-314.9411	10.11207	1	0	1	1	0.001917157	0.001917157	0.0007385838	0.004651259	0.006396372	0.006396372	0.007506142	0.007506142	0.273066	0.0573473	0.615704	0.0538831
7500	-299.0565	-316.0678	17.01133	0	0	1	1	0.001528189	0.001186379	6.821764e-05	0.005422078	0.006146465	0.006146465	0.006977498	0.006977498	0.259652	0.0836564	0.0552483	0.601444
7600	-304.8572	-316.5409	11.68365	0	0	1	0	0.0009514272	0.0004769312	8.051006e-05	0.008291972	0.005835537	0.005835537	0.01195659	0.004624274	0.157564	0.0983928	0.460641	0.283403
7700	-306.6605	-320.7457	14.08525	1	0	1	1	0.0007656873	0.0007656873	0.0008748622	0.004785937	0.006554703	0.006554703	0.004728871	0.004728871	0.0398083	0.495309	0.374875	0.0900087
7800	-304.8894	-312.8135	7.924149	1	0	1	1	0.001972259	0.001972259	0.0003371163	0.006752787	0.007367851	0.007367851	0.006706557	0.006706557	0.0027132	0.0526734	0.468737	0.475877
7900	-304.8279	-315.2369	10.40897	1	0	1	1	0.002859844	0.002859844	0.0004463856	0.004863295	0.007005813	0.007005813	0.005772681	0.005772681	0.123972	0.0973578	0.588443	0.190227
8000	-299.5742	-312.6917	13.11749	0	0	1	1	0.003184413	0.0006384193	8.145543e-05	0.004120728	0.006427974	0.006427974	0.01030541	0.01030541	0.189393	0.396132	0.39473	0.0197451
8100	-304.315	-317.7614	13.44637	1	0	1	1	0.0008653505	0.0008653505	0.0001357032	0.004568355	0.005649795	0.005649795	0.007053561	0.007053561	0.115543	0.219273	0.291401	0.373784
8200	-298.014	-315.0964	17.08238	0	0	1	1	0.001537002	0.001787325	0.0001459431	0.004483741	0.006596523	0.006596523	0.006715706	0.006715706	0.0456106	0.362131	0.478003	0.114255
8300	-309.1676	-316.7285	7.560845	1	0	1	1	0.003187585	0.003187585	0.001119553	0.005894711	0.007859494	0.007859494	0.005395214	0.005395214	0.11454	0.146981	0.311242	0.427237
8400	-303.0022	-319.2031	16.20089	0	0	1	1	0.002389347	0.001971976	0.0008781257	0.004933146	0.004919117	0.004919117	0.006950925	0.006950925	0.157524	0.28205	0.356566	0.20386
